MAnderson017_118_R225-2_S32.sort.GT,Ca21chr4_C_albicans_SC5314:727213,Ca21chr4_C_albicans_SC5314:714434,Ca21chr4_C_albicans_SC5314,727213,714434,12779,Ca21chr4_C_albicans_SC5314:727213,Ca21chr4_C_albicans_SC5314:714434,2700,No
MAnderson017_118_R225-2_S32.sort.GT,Ca21chr6_C_albicans_SC5314:964810,Ca21chr6_C_albicans_SC5314:799609,Ca21chr6_C_albicans_SC5314,964810,799609,165201,Ca21chr6_C_albicans_SC5314:964810,Ca21chr6_C_albicans_SC5314:799609,720,No
MAnderson017_118_R225-2_S32.sort.GT,Ca21chrR_C_albicans_SC5314:1885765,Ca21chrR_C_albicans_SC5314:1885772,Ca21chrR_C_albicans_SC5314,1885765,1885772,7,Ca21chrR_C_albicans_SC5314:1885765,Ca21chrR_C_albicans_SC5314:1885772,1161,No
MAnderson017_119_R225-2_S33.sort.GT,Ca21chr1_C_albicans_SC5314:3165422,Ca21chr1_C_albicans_SC5314:3166181,Ca21chr1_C_albicans_SC5314,3165422,3166181,759,Ca21chr1_C_albicans_SC5314:3165422,Ca21chr1_C_albicans_SC5314:3166181,15281,Yes
MAnderson017_120_R225-2_S87.sort.GT,Ca21chrR_C_albicans_SC5314:1107559,Ca21chrR_C_albicans_SC5314:1097848,Ca21chrR_C_albicans_SC5314,1107559,1097848,9711,Ca21chrR_C_albicans_SC5314:1107559,Ca21chrR_C_albicans_SC5314:1097848,7869,No
MAnderson017_121_R225-2_S89.sort.GT,Ca21chr2_C_albicans_SC5314:908171,Ca21chr2_C_albicans_SC5314:496421,Ca21chr2_C_albicans_SC5314,908171,496421,411750,Ca21chr2_C_albicans_SC5314:908171,Ca21chr2_C_albicans_SC5314:496421,11837,Yes
MAnderson017_121_R225-2_S89.sort.GT,Ca21chr7_C_albicans_SC5314:186530,Ca21chr7_C_albicans_SC5314:186087,Ca21chr7_C_albicans_SC5314,186530,186087,443,Ca21chr7_C_albicans_SC5314:186530,Ca21chr7_C_albicans_SC5314:186087,5832,No
MAnderson017_121_R225-2_S89.sort.GT,Ca21chr7_C_albicans_SC5314:821269,Ca21chr7_C_albicans_SC5314:926732,Ca21chr7_C_albicans_SC5314,821269,926732,105463,Ca21chr7_C_albicans_SC5314:821269,Ca21chr7_C_albicans_SC5314:926732,11796,
MAnderson017_121_R225-2_S89.sort.GT,Ca21chrR_C_albicans_SC5314:1885763,Ca21chrR_C_albicans_SC5314:1885772,Ca21chrR_C_albicans_SC5314,1885763,1885772,9,Ca21chrR_C_albicans_SC5314:1885763,Ca21chrR_C_albicans_SC5314:1885772,1161,
MAnderson017_125_R225-2_S86.sort.GT,Ca21chr2_C_albicans_SC5314:1107957,Ca21chr2_C_albicans_SC5314:1107826,Ca21chr2_C_albicans_SC5314,1107957,1107826,131,Ca21chr2_C_albicans_SC5314:1107957,Ca21chr2_C_albicans_SC5314:1107826,7686,
MAnderson017_125_R225-2_S86.sort.GT,Ca21chr7_C_albicans_SC5314:203631,Ca21chr7_C_albicans_SC5314:203394,Ca21chr7_C_albicans_SC5314,203631,203394,237,Ca21chr7_C_albicans_SC5314:203631,Ca21chr7_C_albicans_SC5314:203394,5110,
MAnderson017_126_R225-2_S44.sort.GT,Ca21chr1_C_albicans_SC5314:2345789,Ca21chr1_C_albicans_SC5314:2590793,Ca21chr1_C_albicans_SC5314,2345789,2590793,245004,Ca21chr1_C_albicans_SC5314:2345789,Ca21chr1_C_albicans_SC5314:2590793,8382,
MAnderson017_126_R225-2_S44.sort.GT,Ca21chr3_C_albicans_SC5314:1273016,Ca21chr3_C_albicans_SC5314:1275604,Ca21chr3_C_albicans_SC5314,1273016,1275604,2588,Ca21chr3_C_albicans_SC5314:1273016,Ca21chr3_C_albicans_SC5314:1275604,9284,
MAnderson017_126_R225-2_S44.sort.GT,Ca21chr5_C_albicans_SC5314:690367,Ca21chr5_C_albicans_SC5314:690556,Ca21chr5_C_albicans_SC5314,690367,690556,189,Ca21chr5_C_albicans_SC5314:690367,Ca21chr5_C_albicans_SC5314:690556,985,
MAnderson017_126_R225-2_S44.sort.GT,Ca21chr6_C_albicans_SC5314:240264,Ca21chr6_C_albicans_SC5314:212379,Ca21chr6_C_albicans_SC5314,240264,212379,27885,Ca21chr6_C_albicans_SC5314:240264,Ca21chr6_C_albicans_SC5314:212379,6191,
MAnderson017_126_R225-2_S44.sort.GT,Ca21chr7_C_albicans_SC5314:637050,Ca21chr7_C_albicans_SC5314:637090,Ca21chr7_C_albicans_SC5314,637050,637090,40,Ca21chr7_C_albicans_SC5314:637050,Ca21chr7_C_albicans_SC5314:637090,2713,
