chr,chr.pos,univ.pos,a,b,h,s,missing,recoms,recom.by.col,recom.by.mkr
Ca21chr1_C_albicans_SC5314,0,0,0,0,0,0,0,0,0.0,0
Ca21chr1_C_albicans_SC5314,10000,10000,183,0,1534,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,20000,20000,148,0,1239,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,30000,30000,461,0,1709,0,0,108,2.8421,0.0498
Ca21chr1_C_albicans_SC5314,40000,40000,212,197,1310,0,0,240,5.3333,0.1396
Ca21chr1_C_albicans_SC5314,50000,50000,135,0,1121,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,60000,60000,70,0,590,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,70000,70000,35,0,295,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,80000,80000,131,0,1062,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,90000,90000,84,0,708,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,100000,100000,84,0,708,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,110000,110000,113,0,944,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,120000,120000,203,0,1711,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,130000,130000,69,0,525,0,0,9,0.1475,0.0152
Ca21chr1_C_albicans_SC5314,140000,140000,45,1,284,0,0,17,0.2615,0.0515
Ca21chr1_C_albicans_SC5314,150000,150000,125,0,997,0,0,6,0.1132,0.0053
Ca21chr1_C_albicans_SC5314,160000,160000,86,0,640,0,0,22,0.3729,0.0303
Ca21chr1_C_albicans_SC5314,170000,170000,68,0,394,0,0,10,0.1587,0.0216
Ca21chr1_C_albicans_SC5314,180000,180000,120,0,1003,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,190000,190000,159,0,1298,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,200000,200000,49,0,413,0,0,0,0.0,0.0
Ca21chr1_C_albicans_SC5314,210000,210000,186,0,1530,0,0,4,0.0889,0.0023
