strain,chr,start.pos,length,prop.o.arm,arm
MAY_154_CKDL210010773-1B-D702-AK1681_HF35GDSX2_L2_1.sort.GT,Ca21chr1_C_albicans_SC5314,1526268,1524770,0.0254,left
MAY_154_CKDL210010773-1B-D702-AK1681_HF35GDSX2_L2_1.sort.GT,Ca21chr1_C_albicans_SC5314,1524770,1497696,0.0263,left
MAY_154_CKDL210010773-1B-D702-AK1681_HF35GDSX2_L2_1.sort.GT,Ca21chr1_C_albicans_SC5314,1497696,1484004,0.0436,left
MAY_154_CKDL210010773-1B-D702-AK1681_HF35GDSX2_L2_1.sort.GT,Ca21chr1_C_albicans_SC5314,1484004,1432991,0.0523,left
MAY_154_CKDL210010773-1B-D702-AK1681_HF35GDSX2_L2_1.sort.GT,Ca21chr1_C_albicans_SC5314,1432991,1421850,0.0849,left
MAY_154_CKDL210010773-1B-D702-AK1681_HF35GDSX2_L2_1.sort.GT,Ca21chr1_C_albicans_SC5314,1421850,1400439,0.092,left
MAY_154_CKDL210010773-1B-D702-AK1681_HF35GDSX2_L2_1.sort.GT,Ca21chr1_C_albicans_SC5314,1400439,1400388,0.1057,left
MAY_154_CKDL210010773-1B-D702-AK1681_HF35GDSX2_L2_1.sort.GT,Ca21chr1_C_albicans_SC5314,1400388,1390706,0.1057,left
MAY_154_CKDL210010773-1B-D702-AK1681_HF35GDSX2_L2_1.sort.GT,Ca21chr1_C_albicans_SC5314,1390706,1376027,0.1119,left
MAY_154_CKDL210010773-1B-D702-AK1681_HF35GDSX2_L2_1.sort.GT,Ca21chr1_C_albicans_SC5314,1376027,1362651,0.1213,left
MAY_154_CKDL210010773-1B-D702-AK1681_HF35GDSX2_L2_1.sort.GT,Ca21chr1_C_albicans_SC5314,1362651,1359461,0.1298,left
MAY_154_CKDL210010773-1B-D702-AK1681_HF35GDSX2_L2_1.sort.GT,Ca21chr1_C_albicans_SC5314,1359461,1358775,0.1319,left
MAY_154_CKDL210010773-1B-D702-AK1681_HF35GDSX2_L2_1.sort.GT,Ca21chr1_C_albicans_SC5314,1358775,1358200,0.1323,left
MAY_154_CKDL210010773-1B-D702-AK1681_HF35GDSX2_L2_1.sort.GT,Ca21chr1_C_albicans_SC5314,1358200,1358007,0.1327,left
MAY_154_CKDL210010773-1B-D702-AK1681_HF35GDSX2_L2_1.sort.GT,Ca21chr1_C_albicans_SC5314,1358007,1356476,0.1328,left
MAY_154_CKDL210010773-1B-D702-AK1681_HF35GDSX2_L2_1.sort.GT,Ca21chr1_C_albicans_SC5314,1356476,1224712,0.1338,left
